title,link,date,price,housing,housing_category,city_area,housing_type,housing_state,living_area,land_area,price_per_meter,ad_id,lat,long
Byt v novostave Mlynská Bašta s parkovacím miestom,https://www.nehnutelnosti.sk/4783175/byt-v-novostave-mlynska-basta-s-parkovacim-miestom/,27.03.2023,250000,Byty,2 izbový byt,Košice I - Staré Mesto,Predaj,Novostavba,53,0,4716.98,4783175,48.7248998,21.2604805
Exkluzívny 5 izbový rodinný dom v MČ Barca,https://www.nehnutelnosti.sk/4748669/exkluzivny-5-izbovy-rodinny-dom-v-mc-barca/,27.03.2023,Cenadohodou,Domy,Rodinný dom,Košice IV - Barca,Predaj,Novostavba,194, 585,0,4748669,48.6770248,21.265379
Elegantný 1 kk byt v novostavbe – Košice Staré Mesto,https://www.nehnutelnosti.sk/4688382/elegantny-1-kk-byt-v-novostavbe-kosice-stare-mesto/,27.03.2023,149000,Byty,1 izbový byt,Košice I - Staré Mesto,Predaj,Novostavba,37,0,4027.03,4688382,48.7270661,21.2652254
Kancelária 223m2 v Starom meste na Prenájom,https://www.nehnutelnosti.sk/4703689/kancelaria-223m2-v-starom-meste-na-prenajom/,27.03.2023,1800/mes.,Priestory,"Kancelárie, admin. priestory",Košice I - Staré Mesto,Prenájom,Čiastočná rekonštrukcia,200,0,9,4703689,48.7298612,21.2453313
NOVOSTAVBA NÍZKOENERGETICKÝ 3 IZBOVÝ BYT– KE-BARCA,https://www.nehnutelnosti.sk/4892551/novostavba-nizkoenergeticky-3-izbovy-byt-ke-barca/,16.04.2023,Cenadohodou,Byty,3 izbový byt,Košice IV - Barca,Predaj,Novostavba,"82,99",0,0,4892551,48.6770248,21.265379
"1,5-izbák v TOP LOKALITE. Volajte aj cez víkend",https://www.nehnutelnosti.sk/5069742/1-5-izbak-v-top-lokalite-volajte-aj-cez-vikend/,16.04.2023,106000,Byty,1 izbový byt,Košice II - Západ,Predaj,Pôvodný stav,41,0,2585.37,5069742,48.717151081438,21.239276037689
Garáž s pozemkom - ul. Michalovská/Bardejovská,https://www.nehnutelnosti.sk/5072705/garaz-s-pozemkom-ul-michalovska-bardejovska/,16.04.2023,35000,Objekty,Garáž,Košice II - Západ,Predaj,Čiastočná rekonštrukcia,0,0,0,5072705,48.7040071,21.2340978
"Celoročná chata s pozemkom 516 m2, Košice – Vyšné Opátske",https://www.nehnutelnosti.sk/4887612/celorocna-chata-s-pozemkom-516-m2-kosice-vysne-opatske/,16.04.2023,110000,Rekreačné domy,"Chalupa, rekreačný domček",Košice,Predaj,Čiastočná rekonštrukcia,54, 516,2037.04,4887612,48.7333158,21.2613401
"1,5-izbový byt, 39m², Košice – Sídlisko Ťahanovce",https://www.nehnutelnosti.sk/4985477/1-5-izbovy-byt-39m-kosice-sidlisko-tahanovce/,16.04.2023,103990,Byty,1 izbový byt,Košice I - Sídlisko Ťahanovce,Predaj,Kompletná rekonštrukcia,39,0,2666.41,4985477,48.75905,21.2695388
"KRÁSNY ideálny 3-izb. byt s loggiou 72 m², nová reko. / ul. Povstania Č.Ľ. /  KE - Východ",https://www.nehnutelnosti.sk/5076995/krasny-idealny-3-izb-byt-s-loggiou-72-m-nova-reko-ul-povstania-c-l-ke-vychod/,16.04.2023,164900,Byty,3 izbový byt,Košice III - Dargovských Hrdinov,Predaj,Kompletná rekonštrukcia,72,0,2290.28,5076995,48.7291475,21.2874163
EXKLUZÍVNE - apartmán / obchodný priestor v historickom centre mesta Košice,https://www.nehnutelnosti.sk/5084486/exkluzivne-apartman-obchodny-priestor-v-historickom-centre-mesta-kosice/,16.04.2023,141990,Priestory,Obchodné priestory,Košice I - Staré Mesto,Predaj,Kompletná rekonštrukcia,60,0,2366.50,5084486,48.7252456,21.2556596
NADŠTANDARTNÝ RD V LUKRATÍVNEJ LOKALITE KE POPRADSKÁ pri Borovicovom háji,https://www.nehnutelnosti.sk/5059089/nadstandartny-rd-v-lukrativnej-lokalite-ke-popradska-pri-borovicovom-haji/,15.04.2023,680000,Domy,Rodinný dom,Košice II - Západ,Predaj,Kompletná rekonštrukcia,220, 326,3090.91,5059089,48.7151762,21.223488
NA PREDAJ 3 IZBOVÝ TEHLOVÝ BYT S VEĽKOU VÝMEROU NA KISDYHO ULICI,https://www.nehnutelnosti.sk/5084113/na-predaj-3-izbovy-tehlovy-byt-s-velkou-vymerou-na-kisdyho-ulici/,15.04.2023,174990,Byty,3 izbový byt,Košice I - Sever,Predaj,Čiastočná rekonštrukcia,77,0,2272.60,5084113,48.7350154,21.249928
"4 izb. byt pri Novej Nemocnici, 3/10.posch., lodžia, výťah, kumbál",https://www.nehnutelnosti.sk/5077426/4-izb-byt-pri-novej-nemocnici-3-10-posch-lodzia-vytah-kumbal/,16.04.2023,140000,Byty,4 izbový byt,Košice,Predaj,Pôvodný stav,72,0,1944.44,5077426,48.716386,21.261075
Príležitosť na bývanie podľa seba uprostred prírody,https://www.nehnutelnosti.sk/4996101/prilezitost-na-byvanie-podla-seba-uprostred-prirody/,15.04.2023,149000,Domy,Rodinný dom,Košice III - Košická Nová Ves,Predaj,Novostavba,96, 585,1552.08,4996101,48.7334404,21.2977638
"NA PREDAJ, 1-izbový slnečný byt, vyhľadávaná lokalita Košice - Terasa",https://www.nehnutelnosti.sk/5057837/na-predaj-1-izbovy-slnecny-byt-vyhladavana-lokalita-kosice-terasa/,16.04.2023,92000,Byty,1 izbový byt,Košice II - Západ,Predaj,Kompletná rekonštrukcia,27,0,3407.41,5057837,48.70771,21.235215
"Priestranný 1 izb. byt Ťahanovce (Helsinská ul.), 43,6 m2, čiast. upravený, OV, LODŽIA, VÝŤAH, PIVNI",https://www.nehnutelnosti.sk/5077685/priestranny-1-izb-byt-tahanovce-helsinska-ul-43-6-m2-ciast-upraveny-ov-lodzia-vytah-pivni/,16.04.2023,99900,Byty,1 izbový byt,Košice I - Sídlisko Ťahanovce,Predaj,Čiastočná rekonštrukcia,44,0,2270.45,5077685,48.759579,21.267024
Tostov palác - posledný byt s interiérovým dizajnom a realizáciou  v cene !!!,https://www.nehnutelnosti.sk/4307668/tostov-palac-posledny-byt-s-interierovym-dizajnom-a-realizaciou-v-cene/,16.04.2023,355000,Byty,4 izbový byt,Košice I - Staré Mesto,Predaj,Novostavba,137,0,2591.24,4307668,48.7212649,21.2523454
